target,Date,latitude,longitude,month,day,day_of_year,year,Distance_to_equator,Is_dry_season,Temp_max_avg,Temp_max_max,Humidity_avg,Humidity_min,Precip_total,Days_no_rain,Wind_avg,Wind_max
0,2016-12-11,-6.040843804619021,-75.5134205645717,12,11,346,2016,670.5336623127113,0,32.215,36.22,77.03500000000001,66.5,90.65999999999994,1.0,0.029333333333333333,0.1
0,2016-12-12,-7.511017054186108,-77.44217334143556,12,12,347,2016,833.722893014658,0,22.294333333333334,27.05,70.06733333333334,41.7,25.530000000000015,3.0,1.782,2.89
0,2016-12-12,-7.1205154593131565,-76.76326173892171,12,12,347,2016,790.3772159837604,0,32.18833333333333,36.11,62.434333333333335,48.29,27.65000000000002,3.0,0.035,0.11
0,2016-12-12,-5.662370106905432,-77.07535731755083,12,12,347,2016,628.5230818665029,0,30.469666666666665,34.15,74.70599999999999,61.21,72.10999999999999,1.0,0.050666666666666665,0.12
0,2016-12-12,-6.736884280770205,-76.9775738185435,12,12,347,2016,747.7941551654927,0,29.262333333333334,32.57,68.49600000000001,50.02,37.00999999999998,2.0,0.018000000000000002,0.1
1,2016-12-12,-7.079,-76.6581,12,12,347,2016,785.769,0,32.18833333333333,36.11,62.434333333333335,48.29,27.65000000000002,3.0,0.035,0.11
0,2016-12-12,-5.9462000997115165,-76.43849970195068,12,12,347,2016,660.0282110679783,0,31.497,35.16,75.319,65.7,83.94000000000003,1.0,0.03733333333333333,0.11
0,2016-12-12,-5.906233795105334,-77.12857966060585,12,12,347,2016,655.591951256692,0,28.975666666666665,32.26,72.98233333333334,55.46,55.59000000000001,1.0,0.021333333333333333,0.13
0,2016-12-12,-6.631390870435434,-77.17543848057095,12,12,347,2016,736.0843866183332,0,29.262333333333334,32.57,68.49600000000001,50.02,37.00999999999998,2.0,0.018000000000000002,0.1
0,2016-12-12,-7.311635265992554,-75.85999069910886,12,12,347,2016,811.5915145251735,0,32.523666666666664,37.12,74.18100000000001,61.15,111.39999999999999,2.0,0.021333333333333336,0.1
0,2016-12-13,-7.52893790740652,-77.07253517227397,12,13,348,2016,835.7121077221237,0,29.319666666666667,33.41,67.66566666666667,55.4,46.59000000000002,3.0,0.28700000000000003,0.36
0,2016-12-13,-6.979782618165886,-76.34280103633438,12,13,348,2016,774.7558706164133,0,32.58866666666667,35.91,68.233,57.98,58.19999999999999,1.0,0.012,0.06
0,2016-12-13,-5.607896245919547,-76.37910922472966,12,13,348,2016,622.4764832970698,0,31.305,35.39,79.08833333333332,68.85,124.74000000000001,0.0,0.05333333333333334,0.13
0,2016-12-13,-6.1628423736617925,-77.33214012724629,12,13,348,2016,684.075503476459,0,23.906333333333333,28.42,73.10433333333334,40.14,38.050000000000004,2.0,1.5979999999999999,2.26
0,2016-12-13,-6.982455617549805,-76.38860618436227,12,13,348,2016,775.0525735480284,0,32.58866666666667,35.91,68.233,57.98,58.19999999999999,1.0,0.012,0.06
0,2016-12-13,-6.8824524173967765,-77.12203229237878,12,13,348,2016,763.9522183310422,0,31.939666666666664,36.11,63.20066666666666,48.29,33.49000000000002,2.0,0.034666666666666665,0.11
1,2016-12-14,-6.924,-76.876,12,14,349,2016,768.5640000000001,0,31.75733333333333,35.22,63.865,48.29,34.37000000000002,1.0,0.034,0.11
0,2016-12-14,-6.134868701694113,-76.84593822630983,12,14,349,2016,680.9704258880465,0,28.617666666666665,32.26,74.34666666666666,55.46,75.19000000000001,0.0,0.021666666666666667,0.13
1,2016-12-14,-6.3652,-76.504,12,14,349,2016,706.5372,0,31.566,35.35,72.57166666666667,61.65,80.38000000000004,1.0,0.025666666666666667,0.08
1,2016-12-14,-5.74,-75.9692,12,14,349,2016,637.14,0,31.123,35.39,79.61766666666668,68.85,146.41,0.0,0.05500000000000001,0.13
1,2016-12-14,-5.9012,-76.1075,12,14,349,2016,655.0332000000001,0,31.092333333333332,35.16,76.55066666666667,65.7,118.50000000000001,0.0,0.04033333333333333,0.11
0,2016-12-14,-6.089075896633828,-77.11331132604498,12,14,349,2016,675.887424526355,0,28.617666666666665,32.26,74.34666666666666,55.46,75.19000000000001,0.0,0.021666666666666667,0.13
1,2016-12-14,-7.7284,-76.5024,12,14,349,2016,857.8524,0,31.50733333333333,35.26,70.53433333333334,60.25,83.55000000000004,1.0,0.018666666666666665,0.09
1,2016-12-14,-6.3637,-76.5145,12,14,349,2016,706.3706999999999,0,31.566,35.35,72.57166666666667,61.65,80.38000000000004,1.0,0.025666666666666667,0.08
1,2016-12-14,-6.6811,-76.2114,12,14,349,2016,741.6021,0,31.566,35.35,72.57166666666667,61.65,80.38000000000004,1.0,0.025666666666666667,0.08
1,2016-12-14,-6.1595,-77.1106,12,14,349,2016,683.7045,0,28.617666666666665,32.26,74.34666666666666,55.46,75.19000000000001,0.0,0.021666666666666667,0.13
