target,Date,latitude,longitude,month,day,day_of_year,year,Distance_to_equator,Is_dry_season,Temp_max,NDVI,EVI,Temp_max_avg,Temp_max_max,Humidity_avg,Humidity_min,Precip_total,Days_no_rain,Wind_avg,Wind_max
0,2017-05-25,-6.074232738963784,-75.5615873787058,5,25,145,2017,674.23983402498,0,26.230000000000018,0.9023,0.4404,28.091666666666665,29.61,92.27966666666666,87.25,301.78,2.0,0.12933333333333333,0.25
0,2017-05-25,-5.959481938609148,-77.35681272469573,5,25,145,2017,661.5024951856154,0,18.689999999999998,0.4551,0.4556,21.354666666666667,23.78,84.28533333333333,78.11,92.08,3.0,1.2876666666666665,1.72
0,2017-05-26,-6.541834413903653,-76.37649272286701,5,26,146,2017,726.1436199433056,0,30.870000000000005,0.7933,0.5619,27.360000000000003,29.02,89.05233333333332,84.61,205.76000000000005,1.0,0.09133333333333332,0.15
0,2017-05-27,-7.051099362667298,-76.62925053957763,5,27,147,2017,782.67202925607,0,27.189999999999998,0.7804,0.5034,28.722333333333335,31.82,78.23266666666669,69.77,86.81000000000003,1.0,0.06766666666666668,0.15
0,2017-05-27,-6.883760214306626,-75.62202390814382,5,27,147,2017,764.0973837880355,0,22.090000000000032,0.9291,0.4922,27.53533333333333,29.21,91.28166666666668,85.82,170.11999999999995,0.0,0.07400000000000001,0.21
0,2017-05-28,-6.319184567250436,-76.7615595241715,5,28,148,2017,701.4294869647983,0,21.55000000000001,0.6522,0.4151,25.264666666666663,27.34,83.97366666666666,76.73,104.57999999999997,2.0,0.050666666666666665,0.18
0,2017-05-29,-6.550462961960492,-75.75305667586812,5,29,149,2017,727.1013887776146,0,27.29000000000002,0.87,0.5114,27.788333333333338,29.06,91.82133333333334,87.38,146.05,1.0,0.11533333333333333,0.21
0,2017-05-30,-7.454820191858604,-77.06390769959336,5,30,150,2017,827.4850412963051,0,21.870000000000005,0.9081,0.3249,26.64966666666667,28.86,79.95433333333334,72.29,85.23000000000002,2.0,0.252,0.34
0,2017-05-30,-7.451217530868493,-77.29241876502243,5,30,150,2017,827.0851459264027,0,16.189999999999998,0.9744,0.3204,19.459666666666667,22.29,81.73766666666666,75.17,56.16000000000001,4.0,1.5636666666666668,1.96
0,2017-05-31,-6.141100932072808,-75.82733820285651,5,31,151,2017,681.6622034600817,0,27.810000000000002,0.8447,0.557,28.226999999999997,29.47,92.007,87.25,176.59999999999997,3.0,0.14633333333333334,0.25
0,2017-05-31,-5.728382445396997,-77.12017555927592,5,31,151,2017,635.8504514390667,0,25.33000000000004,0.816,0.4096,26.53066666666667,27.94,90.21533333333332,87.19,143.57,5.0,0.12400000000000001,0.2
0,2017-06-01,-6.3737423006602185,-77.16577350376646,6,1,152,2017,707.4853953732843,1,17.189999999999998,0.8672,0.3688,25.514333333333337,27.34,83.10433333333332,76.73,84.98999999999997,4.0,0.052333333333333336,0.18
0,2017-06-02,-6.0457356441581505,-76.76564488218803,6,2,153,2017,671.0766565015547,1,19.370000000000005,0.9041,0.4682,25.071,26.47,87.821,82.86,118.40000000000002,5.0,0.09800000000000002,0.17
0,2017-06-02,-6.166609034042587,-76.23843722431326,6,2,153,2017,684.4936027787271,1,27.689999999999998,0.8729,0.6334,27.42833333333333,28.83,91.44800000000001,88.65,163.26000000000002,4.0,0.12433333333333334,0.23
0,2017-06-04,-7.115248664865674,-76.07912965420722,6,4,155,2017,789.7926018000898,1,24.610000000000014,0.8396,0.5209,28.759999999999998,30.57,84.12100000000001,78.33,110.62999999999998,3.0,0.06566666666666666,0.15
0,2017-06-06,-6.036634194085042,-76.33475368850613,6,6,157,2017,670.0663955434396,1,27.99000000000001,0.882,0.5069,27.514333333333337,28.83,91.36366666666666,88.65,130.21,3.0,0.12133333333333333,0.23
0,2017-06-06,-7.017817860779479,-76.95461934375838,6,6,157,2017,778.9777825465221,1,20.410000000000025,0.5535,0.3926,29.06566666666667,31.82,76.82566666666666,69.77,48.140000000000015,4.0,0.06933333333333333,0.15
0,2017-06-06,-5.5463833686959125,-76.92476001499328,6,6,157,2017,615.6485539252463,1,24.510000000000048,0.917,0.4149,26.56566666666667,27.94,90.19300000000001,87.19,112.24,3.0,0.12200000000000001,0.2
0,2017-06-07,-7.227645324559791,-75.66978466195862,6,7,158,2017,802.2686310261369,1,24.350000000000023,0.7095,0.3489,27.979333333333333,29.72,90.53299999999999,85.89,100.89999999999998,2.0,0.09533333333333334,0.23
0,2017-06-07,-6.905350281771543,-75.85773993313076,6,7,158,2017,766.4938812766413,1,25.350000000000023,0.871,0.6212,27.979333333333333,29.72,90.53299999999999,85.89,100.89999999999998,2.0,0.09533333333333334,0.23
0,2017-06-08,-5.715242133239665,-75.6692049037983,6,8,159,2017,634.3918767896027,1,26.470000000000027,0.8774,0.5105,28.504,29.75,91.26666666666667,86.59,162.21,1.0,0.18833333333333332,0.26
0,2017-06-08,-6.12520459976937,-77.49886350154438,6,8,159,2017,679.8977105744001,1,17.310000000000002,0.6202,0.2441,21.12166666666667,23.78,84.048,78.11,46.84,5.0,1.3530000000000002,1.81
0,2017-06-09,-5.759511577701185,-76.14983081507849,6,9,160,2017,639.3057851248316,1,25.950000000000045,0.8758,0.5408,27.517999999999997,28.83,91.31666666666666,87.4,137.4,3.0,0.126,0.23
0,2017-06-09,-6.625422961334142,-76.70627380489785,6,9,160,2017,735.4219487080898,1,27.33000000000004,0.7392,0.4814,25.681,27.92,82.107,73.56,63.88999999999998,4.0,0.05733333333333333,0.18
0,2017-06-10,-6.525952464139444,-76.13787075319888,6,10,161,2017,724.3807235194784,1,23.410000000000025,0.9057,0.4341,27.813666666666666,29.02,88.15133333333333,83.65,103.27000000000005,3.0,0.10400000000000001,0.15
0,2017-06-10,-6.47129538831012,-76.10848069167751,6,10,161,2017,718.3137881024232,1,23.730000000000018,0.2289,0.1379,27.813666666666666,29.02,88.15133333333333,83.65,103.27000000000005,3.0,0.10400000000000001,0.15
0,2017-06-11,-6.566852763907717,-76.67622294647774,6,11,162,2017,728.9206567937566,1,26.950000000000045,0.8018,0.543,25.70333333333333,27.92,82.34633333333333,73.56,71.01999999999998,4.0,0.056,0.18
0,2017-06-13,-6.0258388422724725,-75.8823418796658,6,13,164,2017,668.8681114922445,1,26.370000000000005,0.5367,0.2714,28.371666666666666,29.39,91.91566666666668,88.26,177.38999999999993,3.0,0.159,0.26
0,2017-06-13,-5.485555576815183,-76.48568380205462,6,13,164,2017,608.8966690264853,1,26.510000000000048,0.8595,0.6265,28.158,29.14,91.868,88.17,191.58999999999997,3.0,0.145,0.23
0,2017-06-14,-5.87094442046127,-77.0385590368228,6,14,165,2017,651.674830671201,1,25.970000000000027,0.8831,0.5726,25.205666666666666,26.56,87.43866666666668,79.77,94.66000000000003,4.0,0.106,0.19
0,2017-06-14,-6.887017706594157,-77.30533643415299,6,14,165,2017,764.4589654319514,1,21.470000000000027,0.2976,0.2369,19.565,22.32,82.171,73.06,30.06,6.0,1.027,1.31
0,2017-06-14,-5.592011294671137,-75.99975689195666,6,14,165,2017,620.7132537084962,1,26.83000000000004,0.8945,0.494,28.188,29.14,91.69033333333333,88.17,174.20000000000002,3.0,0.14433333333333334,0.23
0,2017-06-15,-5.612307081535751,-76.80288819980903,6,15,166,2017,622.9660860504683,1,17.710000000000036,0.8799,0.5596,26.50166666666667,27.55,90.21866666666666,84.9,120.51999999999998,2.0,0.131,0.23
0,2017-06-17,-6.395505819847665,-76.99761432969862,6,17,168,2017,709.9011460030908,1,19.33000000000004,0.8939,0.376,25.639333333333337,27.92,81.97533333333332,73.16,65.89999999999998,5.0,0.07400000000000001,0.18
1,2017-06-17,-6.5893,-76.1082,6,17,168,2017,731.4123,1,28.390000000000043,0.9036,0.5549,27.765666666666668,29.0,88.0,82.53,106.13000000000004,5.0,0.097,0.15
0,2017-06-18,-7.443277568920015,-75.95948688269024,6,18,169,2017,826.2038101501217,1,21.430000000000007,0.8033,0.4715,28.148,30.47,83.69633333333333,76.07,98.28000000000003,3.0,0.087,0.16
0,2017-06-18,-6.249559347527708,-77.38514191347497,6,18,169,2017,693.7010875755756,1,20.650000000000034,0.9049,0.3844,20.96,23.72,83.92166666666667,75.0,43.36000000000001,5.0,1.4110000000000003,1.81
0,2017-06-18,-6.061671698446887,-76.35844064270319,6,18,169,2017,672.8455585276045,1,26.07000000000005,0.8791,0.4712,27.47266666666667,28.42,91.066,87.4,145.43,6.0,0.12200000000000001,0.2
0,2017-06-19,-5.913375544586391,-77.02153912778006,6,19,170,2017,656.3846854490895,1,24.710000000000036,0.8633,0.5735,25.343,27.11,86.64933333333333,79.28,95.04000000000002,6.0,0.109,0.19
0,2017-06-19,-6.6588540055381635,-76.3643446123623,6,19,170,2017,739.1327946147361,1,28.510000000000048,0.8286,0.5859,27.828333333333333,29.2,87.732,82.53,105.84000000000005,6.0,0.09766666666666667,0.15
0,2017-06-19,-5.796164972487043,-76.72449599512143,6,19,170,2017,643.3743119460618,1,21.79000000000002,0.0843,0.0842,25.343,27.11,86.64933333333333,79.28,95.04000000000002,6.0,0.109,0.19
0,2017-06-22,-6.66782718852246,-77.11974959426693,6,22,173,2017,740.1288179259931,1,16.890000000000043,0.805,0.5168,25.465666666666664,27.94,82.02733333333332,72.25,62.90999999999998,5.0,0.08266666666666667,0.18
0,2017-06-22,-6.081931713189248,-77.21688851873837,6,22,173,2017,675.0944201640066,1,23.710000000000036,0.8294,0.4985,20.84333333333333,23.72,84.248,75.0,37.66000000000001,5.0,1.4666666666666666,1.81
0,2017-06-23,-5.7826453397308155,-77.3905226367299,6,23,174,2017,641.8736327101205,1,25.57000000000005,0.808,0.5054,20.884666666666664,23.72,84.06633333333335,75.0,37.34000000000001,5.0,1.472,1.81
0,2017-06-23,-6.8053340000464315,-76.39338208242373,6,23,174,2017,755.3920740051539,1,30.970000000000027,0.6587,0.5239,29.013666666666666,31.29,82.034,74.68,77.21999999999998,5.0,0.08166666666666665,0.15
1,2017-06-24,-6.8223,-76.5532,6,24,175,2017,757.2753,1,29.470000000000027,0.7704,0.4284,29.070666666666668,31.29,81.656,70.36,74.94999999999999,5.0,0.08299999999999999,0.18
0,2017-06-25,-7.153254312142147,-75.61931012295983,6,25,176,2017,794.0112286477784,1,26.730000000000018,0.8631,0.5939,27.981333333333332,29.72,88.24766666666666,80.14,82.09999999999998,4.0,0.13399999999999998,0.23
0,2017-06-25,-5.95558763459201,-75.58088985962372,6,25,176,2017,661.0702274397131,1,25.03000000000003,0.8412,0.5631,28.097333333333335,29.39,90.87733333333333,86.2,113.48999999999995,5.0,0.16599999999999998,0.26
0,2017-06-27,-7.010865933982342,-76.63167881965191,6,27,178,2017,778.20611867204,1,25.370000000000005,0.8701,0.433,28.829333333333334,31.6,73.11333333333333,59.37,33.63000000000002,5.0,0.08733333333333333,0.18
0,2017-06-28,-5.623597121632923,-75.81781716667395,6,28,179,2017,624.2192805012544,1,24.57000000000005,0.8655,0.4579,28.225,29.47,90.43133333333334,86.59,113.03000000000002,6.0,0.19533333333333333,0.28
0,2017-06-29,-6.632429838819291,-76.85546244307059,6,29,180,2017,736.1997121089413,1,19.730000000000018,0.7118,0.2734,25.779999999999998,28.26,78.89766666666668,64.98,46.06999999999998,6.0,0.09366666666666666,0.23
0,2017-06-29,-5.931410128051382,-77.48442078407336,6,29,180,2017,658.3865242137034,1,19.970000000000027,0.3401,0.2871,21.028,23.72,82.10633333333334,66.73,30.130000000000006,6.0,1.4280000000000002,1.81
0,2017-07-01,-6.15602894819134,-76.33768833426039,7,1,182,2017,683.3192132492387,1,28.75,0.7676,0.5751,27.178666666666665,28.42,89.96966666666667,84.81,107.63000000000001,4.0,0.14333333333333334,0.23
0,2017-07-01,-5.706911774664528,-77.15797296628834,7,1,182,2017,633.4672069877626,1,24.03000000000003,0.7796,0.4571,26.21366666666667,27.55,88.57233333333333,80.44,88.55999999999999,4.0,0.15466666666666667,0.28
0,2017-07-02,-6.44311246702837,-76.64720397145403,7,2,183,2017,715.1854838401491,1,20.83000000000004,0.3367,0.2293,25.760333333333335,28.26,79.16033333333333,64.98,53.34999999999998,4.0,0.093,0.23
0,2017-07-02,-6.797266617151564,-77.33130374727055,7,2,183,2017,754.4965945038236,1,19.57000000000005,0.6716,0.3314,19.586666666666666,22.32,79.83933333333333,71.81,21.009999999999998,6.0,1.153,1.88
0,2017-07-02,-5.977954403238399,-75.89740788010133,7,2,183,2017,663.5529387594622,1,25.710000000000036,0.8544,0.5125,28.025,29.39,90.92066666666666,86.2,126.26999999999995,3.0,0.159,0.26
0,2017-07-03,-7.4291899383099445,-76.99344952239323,7,3,184,2017,824.6400831524038,1,21.470000000000027,0.8556,0.6085,26.60666666666667,29.23,75.02466666666666,60.9,39.80000000000002,5.0,0.2843333333333334,0.42
0,2017-07-03,-6.993239612195546,-76.80617132397158,7,3,184,2017,776.2495969537056,1,24.850000000000023,0.833,0.6488,28.747666666666667,31.6,72.74066666666667,59.37,37.64000000000002,3.0,0.08433333333333334,0.18
0,2017-07-03,-5.930404217360228,-76.53983487852608,7,3,184,2017,658.2748681269853,1,23.590000000000032,0.9145,0.4217,27.110333333333337,28.42,89.99766666666666,84.81,95.47000000000001,2.0,0.14266666666666666,0.23
0,2017-07-04,-5.984669195028871,-76.49551058575585,7,4,185,2017,664.2982806482047,1,24.970000000000027,0.8654,0.4823,27.135333333333335,28.42,89.77666666666667,84.81,83.78000000000002,2.0,0.143,0.23
0,2017-07-05,-6.905014878753814,-76.49698867319515,7,5,186,2017,766.4566515416734,1,26.670000000000016,0.861,0.5606,29.521333333333335,31.75,78.229,68.46,50.20999999999999,3.0,0.07866666666666666,0.18
0,2017-07-05,-6.742797209348308,-75.63057425829132,7,5,186,2017,748.4504902376622,1,24.090000000000032,0.8565,0.4684,27.659666666666666,29.07,89.921,85.46,78.33,2.0,0.13433333333333333,0.25
